exp,Shanghai,boost_Shanghai,Vegas,boost_Vegas,Paris,boost_Paris,Khartoum,boost_Khartoum,avg_boost
xh.deeplab.mobilenet.vegas,0.16,0,0.77,0,0.45,0,0.07,0,0.0
xh.deeplab.mobilenet.vegas.test_bn,0.44,0,0.77,0,0.54,0,0.42,0,0.0
deeplab.mobilenet.vegas.bottleneck-bn.adversarial.finetune.test_bn,0.49,0.11,0.75,-0.03,0.54,0.0,0.45,0.07,0.04
deeplab.mobilenet.vegas.bottleneck-bn.entropy-loss.finetune.test_bn,0.44,0.0,0.74,-0.04,0.53,-0.02,0.42,0.0,-0.01
deeplab.mobilenet.vegas.bottleneck-bn.finetune.test_bn,0.44,0.0,0.73,-0.05,0.54,0.0,0.42,0.0,-0.01
deeplab.mobilenet.vegas.bottleneck-bn-class.finetune.test_bn,0.45,0.02,0.72,-0.06,0.52,-0.04,0.41,-0.02,-0.02
deeplab.mobilenet.vegas.bottleneck-bn.adversarial.finetune,0.41,-0.07,0.75,-0.03,0.48,-0.11,0.34,-0.19,-0.1
deeplab.mobilenet.vegas.bottleneck-bn.adversarial.test_bn,0.4,-0.09,0.62,-0.19,0.45,-0.17,0.41,-0.02,-0.12
deeplab.mobilenet.vegas.bottleneck-bn.adversarial,0.39,-0.11,0.62,-0.19,0.38,-0.3,0.42,0.0,-0.15
ry.deeplab.coral.vegas,0.21,-0.52,0.77,0.0,0.2,-0.63,0.25,-0.4,-0.39
ry.deeplab.coral.bn2.vegas,0.11,-0.75,0.77,0.0,0.17,-0.69,0.05,-0.88,-0.58
